Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
52,500,1,Directed Random Tree,5,1,1,False,N01,True,agent,1.0,True,0.25,0.002,0.077655,1.0,9.0,54.3149,0.308123,Not Linear,0.0205633,0.0,10.0,51.8541,0.03504430000000001,Not Linear,0.0394325,0.0,11.0,56.1724,0.0725484,Not Linear
53,100,14,Random k-out (k=10) #b,10,25,N/4,True,N01,True,no,1.0,True,0.25,0.25,0.20681799999999997,1.0,13.0,366.045,0.272445,Not Linear,0.25087800000000005,1.0,13.0,441.977,0.34371199999999996,Not Linear,0.22392800000000002,1.0,11.0,365.94699999999995,0.387216,Not Linear
54,100,4,Erdos-Renyi Random #1b,18,25,N/4,True,U-11,True,no,1.0,False,0.1,0.25,0.9938809999999999,1.0,42.0,3.43597e+49,0.672942,Linear,1.0,1.0,41.0,1.2451300000000003e+123,0.0,Invalid,,0.0,39.0,2.1113600000000014e+246,,Invalid
55,500,11,Random k-out (k=3) #a,3,1,1,True,N01,True,agent,2.0,False,0.25,0.002,0.65261,1.0,45.0,6.620570000000001e+70,-0.00760348,Linear,,0.0,46.0,2.688970000000001e+173,,Invalid,,0.0,86.0,2.8335400000000015e+275,,Invalid
56,500,7,Scale-Free #1a,12,5,5,True,U-11,True,no,2.0,True,0.0,0.01,0.0449714,0.0,1.0,97.8995,0.296941,Not Linear,0.0549606,0.0,1.0,140.2,0.28228400000000003,Not Linear,0.0170784,0.0,1.0,101.35600000000001,0.24274899999999996,Not Linear
57,500,11,Random k-out (k=3) #a,3,125,N/4,False,U-11,True,agent,2.0,True,0.0,0.25,0.180456,1.0,21.0,11730.2,0.328494,Not Linear,0.07210010000000001,1.0,19.0,9263.25,0.356939,Not Linear,0.118111,1.0,19.0,14663.5,0.29044699999999996,Not Linear
58,100,5,Erdos-Renyi Random #2a,49,25,N/4,False,U-11,True,no,2.0,False,0.25,0.25,,0.0,39.0,6.331560000000002e+186,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
59,500,11,Random k-out (k=3) #a,3,5,5,False,U01,True,agent,2.0,False,0.0,0.01,0.998086,1.0,1.0,2400.32,0.997611,Linear,0.9989629999999999,1.0,0.0,3502.23,0.999025,Linear,0.999534,1.0,0.0,5127.23,0.9995620000000001,Linear
60,100,4,Erdos-Renyi Random #1b,18,5,5,False,U01,True,agent,2.0,True,0.25,0.05,0.794341,1.0,4.0,74.501,0.6044010000000001,Linear,0.78238,1.0,1.0,82.6149,0.538402,Linear,0.792639,1.0,2.0,89.5905,0.7028939999999999,Linear
61,100,13,Random k-out (k=10) #a,10,100,N,True,U-11,True,agent,1.0,True,0.1,1.0,0.46976999999999997,1.0,34.0,6101.27,0.574963,Not Linear,0.404724,1.0,22.0,16159.7,0.5645479999999999,Not Linear,0.47290600000000005,1.0,33.0,4138.0,0.42803900000000006,Not Linear
62,100,3,Erdos-Renyi Random #1a,15,100,N,True,U01,True,no,2.0,False,0.1,1.0,,0.0,34.0,2.088310000000001e+169,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
63,100,14,Random k-out (k=10) #b,10,1,1,True,U01,True,no,1.0,False,0.1,0.01,0.999908,1.0,28.0,1.3500300000000002e+71,0.9997469999999999,Linear,,0.0,47.0,2.1850500000000004e+175,,Invalid,,0.0,,,,Invalid
64,100,1,Directed Random Tree,5,1,1,True,U01,True,agent,2.0,True,0.0,0.01,0.057652699999999994,0.0,1.0,49.2261,0.257293,Not Linear,0.0876627,0.0,2.0,54.4577,0.25492,Not Linear,0.0425916,1.0,1.0,60.0425,0.16002,Not Linear
65,100,9,Scale-Free #2a,3,25,N/4,False,U-11,False,network,0.5,True,0.0,0.25,0.035981,0.0,6.0,12.3887,0.224385,Not Linear,0.0542521,1.0,2.0,13.0437,0.121772,Not Linear,0.0431503,1.0,2.0,12.5981,0.324264,Not Linear
